Expiry;UnderlyingTenor;Strike;Volatility
3M;1Y;ATM;0.002578
3M;1Y;25bp;0.002979
3M;1Y;50bp;0.003947
3M;1Y;75bp;0.004919
3M;1Y;100bp;0.005857
3M;1Y;150bp;0.007637
3M;1Y;200bp;0.009322
3M;1Y;250bp;0.010938
3M;1Y;300bp;0.0125
3M;1Y;350bp;0.01402
3M;2Y;-350bp;0.014752
3M;2Y;-300bp;0.013293
3M;2Y;-250bp;0.011791
3M;2Y;-200bp;0.010235
3M;2Y;-150bp;0.008614
3M;2Y;-100bp;0.00691
3M;2Y;-75bp;0.006025
3M;2Y;-50bp;0.005129
3M;2Y;-25bp;0.004284
3M;2Y;ATM;0.003778
3M;2Y;25bp;0.004074
3M;2Y;50bp;0.004825
3M;2Y;75bp;0.005667
3M;2Y;100bp;0.006512
3M;2Y;150bp;0.00815
3M;2Y;200bp;0.009714
3M;2Y;250bp;0.011218
3M;2Y;300bp;0.012673
3M;2Y;350bp;0.014087
3M;3Y;-350bp;0.014635
3M;3Y;-300bp;0.013224
3M;3Y;-250bp;0.011772
3M;3Y;-200bp;0.010272
3M;3Y;-150bp;0.008714
3M;3Y;-100bp;0.007092
3M;3Y;-75bp;0.006262
3M;3Y;-50bp;0.005445
3M;3Y;-25bp;0.004722
3M;3Y;ATM;0.004362
3M;3Y;25bp;0.004654
3M;3Y;50bp;0.005342
3M;3Y;75bp;0.006139
3M;3Y;100bp;0.006954
3M;3Y;150bp;0.008555
3M;3Y;200bp;0.010094
3M;3Y;250bp;0.011577
3M;3Y;300bp;0.013013
3M;3Y;350bp;0.014409
3M;4Y;-350bp;0.0143
3M;4Y;-300bp;0.012953
3M;4Y;-250bp;0.011569
3M;4Y;-200bp;0.010142
3M;4Y;-150bp;0.008666
3M;4Y;-100bp;0.007145
3M;4Y;-75bp;0.006381
3M;4Y;-50bp;0.005651
3M;4Y;-25bp;0.005047
3M;4Y;ATM;0.004802
3M;4Y;25bp;0.005093
3M;4Y;50bp;0.005723
3M;4Y;75bp;0.006469
3M;4Y;100bp;0.007243
3M;4Y;150bp;0.008781
3M;4Y;200bp;0.01027
3M;4Y;250bp;0.011709
3M;4Y;300bp;0.013104
3M;4Y;350bp;0.01446
3M;5Y;-350bp;0.013904
3M;5Y;-300bp;0.012619
3M;5Y;-250bp;0.0113
3M;5Y;-200bp;0.009944
3M;5Y;-150bp;0.008548
3M;5Y;-100bp;0.007127
3M;5Y;-75bp;0.006428
3M;5Y;-50bp;0.005783
3M;5Y;-25bp;0.005293
3M;5Y;ATM;0.005153
3M;5Y;25bp;0.005467
3M;5Y;50bp;0.006066
3M;5Y;75bp;0.006777
3M;5Y;100bp;0.00752
3M;5Y;150bp;0.009007
3M;5Y;200bp;0.010455
3M;5Y;250bp;0.011857
3M;5Y;300bp;0.013218
3M;5Y;350bp;0.014543
3M;6Y;-350bp;0.01395
3M;6Y;-300bp;0.012667
3M;6Y;-250bp;0.011352
3M;6Y;-200bp;0.01
3M;6Y;-150bp;0.008612
3M;6Y;-100bp;0.007206
3M;6Y;-75bp;0.006523
3M;6Y;-50bp;0.005901
3M;6Y;-25bp;0.005448
3M;6Y;ATM;0.005353
3M;6Y;25bp;0.005692
3M;6Y;50bp;0.006301
3M;6Y;75bp;0.007017
3M;6Y;100bp;0.007766
3M;6Y;150bp;0.009266
3M;6Y;200bp;0.010727
3M;6Y;250bp;0.012144
3M;6Y;300bp;0.013519
3M;6Y;350bp;0.014857
3M;7Y;-350bp;0.013882
3M;7Y;-300bp;0.012608
3M;7Y;-250bp;0.011303
3M;7Y;-200bp;0.009963
3M;7Y;-150bp;0.00859
3M;7Y;-100bp;0.007205
3M;7Y;-75bp;0.006537
3M;7Y;-50bp;0.005939
3M;7Y;-25bp;0.005521
