Expiry;UnderlyingTenor;Strike;Volatility
18M;5Y;-250bp;0.008069
18M;5Y;-200bp;0.007392
18M;5Y;-150bp;0.00675
18M;5Y;-100bp;0.006198
18M;5Y;-75bp;0.005992
18M;5Y;-50bp;0.005861
18M;5Y;-25bp;0.005826
18M;5Y;ATM;0.005901
18M;5Y;25bp;0.006077
18M;5Y;50bp;0.006333
18M;5Y;75bp;0.006645
18M;5Y;100bp;0.006993
18M;5Y;150bp;0.007745
18M;5Y;200bp;0.008525
18M;5Y;250bp;0.009308
18M;5Y;300bp;0.010084
18M;5Y;350bp;0.01085
18M;6Y;-350bp;0.009408
18M;6Y;-300bp;0.008723
18M;6Y;-250bp;0.00804
18M;6Y;-200bp;0.007367
18M;6Y;-150bp;0.006732
18M;6Y;-100bp;0.006192
18M;6Y;-75bp;0.005994
18M;6Y;-50bp;0.005872
18M;6Y;-25bp;0.005849
18M;6Y;ATM;0.005935
18M;6Y;25bp;0.006121
18M;6Y;50bp;0.006385
18M;6Y;75bp;0.006703
18M;6Y;100bp;0.007055
18M;6Y;150bp;0.007814
18M;6Y;200bp;0.008599
18M;6Y;250bp;0.009386
18M;6Y;300bp;0.010167
18M;6Y;350bp;0.010937
18M;7Y;-350bp;0.009396
18M;7Y;-300bp;0.008713
18M;7Y;-250bp;0.008031
18M;7Y;-200bp;0.007361
18M;7Y;-150bp;0.006731
18M;7Y;-100bp;0.006199
18M;7Y;-75bp;0.006008
18M;7Y;-50bp;0.005895
18M;7Y;-25bp;0.005882
18M;7Y;ATM;0.005978
18M;7Y;25bp;0.006174
18M;7Y;50bp;0.006446
18M;7Y;75bp;0.00677
18M;7Y;100bp;0.007128
18M;7Y;150bp;0.007895
18M;7Y;200bp;0.008687
18M;7Y;250bp;0.009481
18M;7Y;300bp;0.010267
18M;7Y;350bp;0.011042
18M;8Y;-350bp;0.009355
18M;8Y;-300bp;0.008675
18M;8Y;-250bp;0.007997
18M;8Y;-200bp;0.007333
18M;8Y;-150bp;0.00671
18M;8Y;-100bp;0.00619
18M;8Y;-75bp;0.006006
18M;8Y;-50bp;0.005903
18M;8Y;-25bp;0.005901
18M;8Y;ATM;0.006008
18M;8Y;25bp;0.006212
18M;8Y;50bp;0.006491
18M;8Y;75bp;0.006821
18M;8Y;100bp;0.007183
18M;8Y;150bp;0.007956
18M;8Y;200bp;0.008753
18M;8Y;250bp;0.00955
18M;8Y;300bp;0.01034
18M;8Y;350bp;0.011118
18M;9Y;-350bp;0.009316
18M;9Y;-300bp;0.008641
18M;9Y;-250bp;0.007968
18M;9Y;-200bp;0.007311
18M;9Y;-150bp;0.006697
18M;9Y;-100bp;0.006192
18M;9Y;-75bp;0.006018
18M;9Y;-50bp;0.005926
18M;9Y;-25bp;0.005935
18M;9Y;ATM;0.006053
18M;9Y;25bp;0.006266
18M;9Y;50bp;0.006551
18M;9Y;75bp;0.006886
18M;9Y;100bp;0.007251
18M;9Y;150bp;0.008029
18M;9Y;200bp;0.008828
18M;9Y;250bp;0.009629
18M;9Y;300bp;0.01042
18M;9Y;350bp;0.0112
18M;10Y;-350bp;0.009299
18M;10Y;-300bp;0.008625
18M;10Y;-250bp;0.007955
18M;10Y;-200bp;0.007301
18M;10Y;-150bp;0.006693
18M;10Y;-100bp;0.006198
18M;10Y;-75bp;0.006031
18M;10Y;-50bp;0.005949
18M;10Y;-25bp;0.005969
18M;10Y;ATM;0.006098
18M;10Y;25bp;0.00632
18M;10Y;50bp;0.006613
18M;10Y;75bp;0.006954
18M;10Y;100bp;0.007325
18M;10Y;150bp;0.00811
18M;10Y;200bp;0.008917
18M;10Y;250bp;0.009723
18M;10Y;300bp;0.01052
18M;10Y;350bp;0.011306
18M;15Y;-350bp;0.009509
18M;15Y;-300bp;0.008829
18M;15Y;-250bp;0.008151
18M;15Y;-200bp;0.007488
18M;15Y;-150bp;0.006867
18M;15Y;-100bp;0.006348
18M;15Y;-75bp;0.006164
18M;15Y;-50bp;0.006056
18M;15Y;-25bp;0.006045
18M;15Y;ATM;0.006139
18M;15Y;25bp;0.006329
18M;15Y;50bp;0.006594
18M;15Y;75bp;0.006911
18M;15Y;100bp;0.007262
18M;15Y;150bp;0.008018
18M;15Y;200bp;0.008802
18M;15Y;250bp;0.00959
18M;15Y;300bp;0.010371
18M;15Y;350bp;0.011143
18M;20Y;-350bp;0.009691
18M;20Y;-300bp;0.009003
18M;20Y;-250bp;0.008316
18M;20Y;-200bp;0.007643
18M;20Y;-150bp;0.007007
18M;20Y;-100bp;0.006465
18M;20Y;-75bp;0.006263
18M;20Y;-50bp;0.006133
18M;20Y;-25bp;0.006094
18M;20Y;ATM;0.006158
18M;20Y;25bp;0.006319
18M;20Y;50bp;0.006559
18M;20Y;75bp;0.006856
18M;20Y;100bp;0.00719
18M;20Y;150bp;0.007921
18M;20Y;200bp;0.008687
18M;20Y;250bp;0.00946
18M;20Y;300bp;0.010229
18M;20Y;350bp;0.01099
18M;25Y;-350bp;0.00978
18M;25Y;-300bp;0.009091
18M;25Y;-250bp;0.008405
18M;25Y;-200bp;0.00773
18M;25Y;-150bp;0.007093
18M;25Y;-100bp;0.006546
18M;25Y;-75bp;0.006339
18M;25Y;-50bp;0.006201
18M;25Y;-25bp;0.006152
18M;25Y;ATM;0.006203
18M;25Y;25bp;0.006349
18M;25Y;50bp;0.006576
18M;25Y;75bp;0.00686
18M;25Y;100bp;0.007184
18M;25Y;150bp;0.007898
18M;25Y;200bp;0.008651
18M;25Y;250bp;0.009414
18M;25Y;300bp;0.010174
18M;25Y;350bp;0.010926
18M;30Y;-350bp;0.009956
18M;30Y;-300bp;0.009259
18M;30Y;-250bp;0.008563
18M;30Y;-200bp;0.007879
18M;30Y;-150bp;0.007231
18M;30Y;-100bp;0.006672
18M;30Y;-75bp;0.006456
18M;30Y;-50bp;0.006308
18M;30Y;-25bp;0.006248
18M;30Y;ATM;0.006286
18M;30Y;25bp;0.006421
18M;30Y;50bp;0.006637
18M;30Y;75bp;0.006914
18M;30Y;100bp;0.007233
18M;30Y;150bp;0.007941
18M;30Y;200bp;0.008691
18M;30Y;250bp;0.009453
18M;30Y;300bp;0.010214
18M;30Y;350bp;0.010967
2Y;1Y;-350bp;0.00977
2Y;1Y;-300bp;0.009011
2Y;1Y;-250bp;0.008245
2Y;1Y;-200bp;0.007482
2Y;1Y;-150bp;0.006741
2Y;1Y;-100bp;0.006076
2Y;1Y;-75bp;0.005811
2Y;1Y;-50bp;0.005628
2Y;1Y;-25bp;0.005562
2Y;1Y;ATM;0.005636
2Y;1Y;25bp;0.005841
2Y;1Y;50bp;0.006145
2Y;1Y;75bp;0.006512
2Y;1Y;100bp;0.006915
2Y;1Y;150bp;0.007769
2Y;1Y;200bp;0.008642
2Y;1Y;250bp;0.009509
2Y;1Y;300bp;0.010363
2Y;1Y;350bp;0.011202
2Y;2Y;-350bp;0.00937
2Y;2Y;-300bp;0.008683
2Y;2Y;-250bp;0.007998
2Y;2Y;-200bp;0.007323
2Y;2Y;-150bp;0.006686
2Y;2Y;-100bp;0.006145
2Y;2Y;-75bp;0.005948
2Y;2Y;-50bp;0.005829
2Y;2Y;-25bp;0.005812
2Y;2Y;ATM;0.005906
2Y;2Y;25bp;0.006101
2Y;2Y;50bp;0.006374
2Y;2Y;75bp;0.0067
2Y;2Y;100bp;0.00706
2Y;2Y;150bp;0.00783
2Y;2Y;200bp;0.008625
2Y;2Y;250bp;0.00942
2Y;2Y;300bp;0.010208
2Y;2Y;350bp;0.010984
2Y;3Y;-350bp;0.009189
2Y;3Y;-300bp;0.008535
2Y;3Y;-250bp;0.007885
2Y;3Y;-200bp;0.007249
2Y;3Y;-150bp;0.006656
2Y;3Y;-100bp;0.006166
2Y;3Y;-75bp;0.005995
2Y;3Y;-50bp;0.005899
2Y;3Y;-25bp;0.005896
2Y;3Y;ATM;0.005993
2Y;3Y;25bp;0.006181
2Y;3Y;50bp;0.00644
2Y;3Y;75bp;0.006748
2Y;3Y;100bp;0.007088
2Y;3Y;150bp;0.007819
2Y;3Y;200bp;0.008578
2Y;3Y;250bp;0.00934
2Y;3Y;300bp;0.010096
2Y;3Y;350bp;0.010842
2Y;4Y;-350bp;0.00903
2Y;4Y;-300bp;0.008405
2Y;4Y;-250bp;0.007786
2Y;4Y;-200bp;0.007187
2Y;4Y;-150bp;0.006635
2Y;4Y;-100bp;0.006192
2Y;4Y;-75bp;0.006044
2Y;4Y;-50bp;0.005967
2Y;4Y;-25bp;0.005978
2Y;4Y;ATM;0.006078
2Y;4Y;25bp;0.006261
2Y;4Y;50bp;0.006507
2Y;4Y;75bp;0.0068
2Y;4Y;100bp;0.007124
2Y;4Y;150bp;0.007822
2Y;4Y;200bp;0.008548
2Y;4Y;250bp;0.009281
2Y;4Y;300bp;0.010009
2Y;4Y;350bp;0.010729
2Y;5Y;-350bp;0.008907
2Y;5Y;-300bp;0.008304
2Y;5Y;-250bp;0.007708
2Y;5Y;-200bp;0.007135
2Y;5Y;-150bp;0.006612
2Y;5Y;-100bp;0.006201
2Y;5Y;-75bp;0.006068
2Y;5Y;-50bp;0.006005
2Y;5Y;-25bp;0.006023
2Y;5Y;ATM;0.006125
2Y;5Y;25bp;0.006304
2Y;5Y;50bp;0.006543
2Y;5Y;75bp;0.006825
2Y;5Y;100bp;0.007137
2Y;5Y;150bp;0.007811
2Y;5Y;200bp;0.008515
2Y;5Y;250bp;0.009226
2Y;5Y;300bp;0.009934
2Y;5Y;350bp;0.010635
2Y;6Y;-350bp;0.008947
2Y;6Y;-300bp;0.008339
2Y;6Y;-250bp;0.007739
2Y;6Y;-200bp;0.00716
2Y;6Y;-150bp;0.006634
2Y;6Y;-100bp;0.00622
2Y;6Y;-75bp;0.006088
2Y;6Y;-50bp;0.006026
2Y;6Y;-25bp;0.006047
2Y;6Y;ATM;0.006154
2Y;6Y;25bp;0.006338
2Y;6Y;50bp;0.006582
2Y;6Y;75bp;0.006869
2Y;6Y;100bp;0.007187
2Y;6Y;150bp;0.007871
2Y;6Y;200bp;0.008583
2Y;6Y;250bp;0.009303
2Y;6Y;300bp;0.010019
2Y;6Y;350bp;0.010728
2Y;7Y;-350bp;0.008958
2Y;7Y;-300bp;0.008347
2Y;7Y;-250bp;0.007744
2Y;7Y;-200bp;0.007163
2Y;7Y;-150bp;0.006634
2Y;7Y;-100bp;0.006219
2Y;7Y;-75bp;0.006087
2Y;7Y;-50bp;0.006027
2Y;7Y;-25bp;0.006051
2Y;7Y;ATM;0.006162
2Y;7Y;25bp;0.00635
2Y;7Y;50bp;0.0066
2Y;7Y;75bp;0.006892
2Y;7Y;100bp;0.007214
2Y;7Y;150bp;0.007906
2Y;7Y;200bp;0.008626
2Y;7Y;250bp;0.009352
2Y;7Y;300bp;0.010075
2Y;7Y;350bp;0.010789
2Y;8Y;-350bp;0.008995
2Y;8Y;-300bp;0.008379
2Y;8Y;-250bp;0.00777
2Y;8Y;-200bp;0.007184
2Y;8Y;-150bp;0.00665
2Y;8Y;-100bp;0.006232
2Y;8Y;-75bp;0.006099
2Y;8Y;-50bp;0.00604
2Y;8Y;-25bp;0.006067
2Y;8Y;ATM;0.006182
2Y;8Y;25bp;0.006375
2Y;8Y;50bp;0.006629
2Y;8Y;75bp;0.006927
2Y;8Y;100bp;0.007254
2Y;8Y;150bp;0.007956
2Y;8Y;200bp;0.008685
2Y;8Y;250bp;0.009419
2Y;8Y;300bp;0.010149
2Y;8Y;350bp;0.010871
2Y;9Y;-350bp;0.008989
2Y;9Y;-300bp;0.008371
2Y;9Y;-250bp;0.00776
2Y;9Y;-200bp;0.007172
2Y;9Y;-150bp;0.006637
2Y;9Y;-100bp;0.006221
2Y;9Y;-75bp;0.006092
2Y;9Y;-50bp;0.006038
2Y;9Y;-25bp;0.006072
2Y;9Y;ATM;0.006195
2Y;9Y;25bp;0.006397
2Y;9Y;50bp;0.006659
2Y;9Y;75bp;0.006965
2Y;9Y;100bp;0.007299
2Y;9Y;150bp;0.008013
2Y;9Y;200bp;0.008752
2Y;9Y;250bp;0.009495
2Y;9Y;300bp;0.010234
2Y;9Y;350bp;0.010963
2Y;10Y;-350bp;0.009046
2Y;10Y;-300bp;0.00842
2Y;10Y;-250bp;0.007802
2Y;10Y;-200bp;0.007206
2Y;10Y;-150bp;0.006664
2Y;10Y;-100bp;0.006241
2Y;10Y;-75bp;0.00611
2Y;10Y;-50bp;0.006056
2Y;10Y;-25bp;0.006092
2Y;10Y;ATM;0.006219
2Y;10Y;25bp;0.006427
2Y;10Y;50bp;0.006696
2Y;10Y;75bp;0.007008
2Y;10Y;100bp;0.007349
2Y;10Y;150bp;0.008076
2Y;10Y;200bp;0.008827
2Y;10Y;250bp;0.009582
2Y;10Y;300bp;0.010331
2Y;10Y;350bp;0.01107
2Y;15Y;-350bp;0.009156
2Y;15Y;-300bp;0.008532
2Y;15Y;-250bp;0.007914
2Y;15Y;-200bp;0.007316
2Y;15Y;-150bp;0.006768
2Y;15Y;-100bp;0.00633
2Y;15Y;-75bp;0.006184
2Y;15Y;-50bp;0.006108
2Y;15Y;-25bp;0.006117
2Y;15Y;ATM;0.006214
2Y;15Y;25bp;0.006392
2Y;15Y;50bp;0.006633
2Y;15Y;75bp;0.00692
2Y;15Y;100bp;0.007239
2Y;15Y;150bp;0.007929
2Y;15Y;200bp;0.008651
2Y;15Y;250bp;0.00938
2Y;15Y;300bp;0.010107
2Y;15Y;350bp;0.010826
2Y;20Y;-350bp;0.009307
2Y;20Y;-300bp;0.008681
2Y;20Y;-250bp;0.008061
2Y;20Y;-200bp;0.007459
2Y;20Y;-150bp;0.006903
2Y;20Y;-100bp;0.006447
2Y;20Y;-75bp;0.006285
2Y;20Y;-50bp;0.006188
2Y;20Y;-25bp;0.00617
2Y;20Y;ATM;0.006236
2Y;20Y;25bp;0.006382
2Y;20Y;50bp;0.006594
2Y;20Y;75bp;0.006856
2Y;20Y;100bp;0.007152
2Y;20Y;150bp;0.007806
2Y;20Y;200bp;0.0085
2Y;20Y;250bp;0.009205
2Y;20Y;300bp;0.00991
2Y;20Y;350bp;0.01061
2Y;25Y;-350bp;0.009345
2Y;25Y;-300bp;0.008723
2Y;25Y;-250bp;0.008108
2Y;25Y;-200bp;0.00751
2Y;25Y;-150bp;0.006957
2Y;25Y;-100bp;0.0065
2Y;25Y;-75bp;0.006336
2Y;25Y;-50bp;0.006233
2Y;25Y;-25bp;0.006206
2Y;25Y;ATM;0.00626
2Y;25Y;25bp;0.006392
2Y;25Y;50bp;0.00659
2Y;25Y;75bp;0.006838
2Y;25Y;100bp;0.007123
2Y;25Y;150bp;0.007756
2Y;25Y;200bp;0.008431
2Y;25Y;250bp;0.009122
2Y;25Y;300bp;0.009813
2Y;25Y;350bp;0.010501
2Y;30Y;-350bp;0.009463
2Y;30Y;-300bp;0.008841
2Y;30Y;-250bp;0.008224
2Y;30Y;-200bp;0.007626
2Y;30Y;-150bp;0.007072
2Y;30Y;-100bp;0.006611
2Y;30Y;-75bp;0.006443
2Y;30Y;-50bp;0.006334
2Y;30Y;-25bp;0.006297
2Y;30Y;ATM;0.006341
2Y;30Y;25bp;0.006461
2Y;30Y;50bp;0.006647
2Y;30Y;75bp;0.006884
2Y;30Y;100bp;0.007159
2Y;30Y;150bp;0.007776
2Y;30Y;200bp;0.00844
2Y;30Y;250bp;0.009121
2Y;30Y;300bp;0.009805
2Y;30Y;350bp;0.010486
3Y;1Y;-350bp;0.008899
3Y;1Y;-300bp;0.008309
3Y;1Y;-250bp;0.007729
3Y;1Y;-200bp;0.007172
3Y;1Y;-150bp;0.006668
3Y;1Y;-100bp;0.006275
3Y;1Y;-75bp;0.006151
3Y;1Y;-50bp;0.006092
3Y;1Y;-25bp;0.006111
3Y;1Y;ATM;0.006209
3Y;1Y;25bp;0.006379
3Y;1Y;50bp;0.006607
3Y;1Y;75bp;0.006877
3Y;1Y;100bp;0.007177
3Y;1Y;150bp;0.007829
3Y;1Y;200bp;0.008513
3Y;1Y;250bp;0.009206
3Y;1Y;300bp;0.009898
3Y;1Y;350bp;0.010584
3Y;2Y;-350bp;0.008732
3Y;2Y;-300bp;0.008172
3Y;2Y;-250bp;0.007624
3Y;2Y;-200bp;0.007104
3Y;2Y;-150bp;0.006643
3Y;2Y;-100bp;0.0063
3Y;2Y;-75bp;0.0062
3Y;2Y;-50bp;0.006163
3Y;2Y;-25bp;0.006199
3Y;2Y;ATM;0.006307
3Y;2Y;25bp;0.006478
3Y;2Y;50bp;0.006702
3Y;2Y;75bp;0.006965
3Y;2Y;100bp;0.007255
3Y;2Y;150bp;0.007883
3Y;2Y;200bp;0.008544
3Y;2Y;250bp;0.009214
3Y;2Y;300bp;0.009884
3Y;2Y;350bp;0.010549
3Y;3Y;-350bp;0.008553
3Y;3Y;-300bp;0.008017
3Y;3Y;-250bp;0.007495
3Y;3Y;-200bp;0.007003
3Y;3Y;-150bp;0.006573
3Y;3Y;-100bp;0.006262
3Y;3Y;-75bp;0.006177
3Y;3Y;-50bp;0.006152
3Y;3Y;-25bp;0.006195
3Y;3Y;ATM;0.006304
3Y;3Y;25bp;0.006473
3Y;3Y;50bp;0.00669
3Y;3Y;75bp;0.006943
3Y;3Y;100bp;0.007222
3Y;3Y;150bp;0.007828
3Y;3Y;200bp;0.008465
3Y;3Y;250bp;0.009112
3Y;3Y;300bp;0.00976
3Y;3Y;350bp;0.010404
3Y;4Y;-350bp;0.008356
3Y;4Y;-300bp;0.007853
3Y;4Y;-250bp;0.007366
3Y;4Y;-200bp;0.006913
3Y;4Y;-150bp;0.006527
3Y;4Y;-100bp;0.006261
3Y;4Y;-75bp;0.006195
3Y;4Y;-50bp;0.006187
3Y;4Y;-25bp;0.00624
3Y;4Y;ATM;0.006352
3Y;4Y;25bp;0.006517
3Y;4Y;50bp;0.006725
3Y;4Y;75bp;0.006967
3Y;4Y;100bp;0.007232
3Y;4Y;150bp;0.007807
3Y;4Y;200bp;0.008413
3Y;4Y;250bp;0.009031
3Y;4Y;300bp;0.009651
3Y;4Y;350bp;0.010267
3Y;5Y;-350bp;0.008194
3Y;5Y;-300bp;0.007713
3Y;5Y;-250bp;0.007251
3Y;5Y;-200bp;0.006826
3Y;5Y;-150bp;0.006469
3Y;5Y;-100bp;0.006233
3Y;5Y;-75bp;0.00618
3Y;5Y;-50bp;0.006182
3Y;5Y;-25bp;0.00624
3Y;5Y;ATM;0.006354
3Y;5Y;25bp;0.006517
3Y;5Y;50bp;0.006719
3Y;5Y;75bp;0.006952
3Y;5Y;100bp;0.007207
3Y;5Y;150bp;0.007761
3Y;5Y;200bp;0.008346
3Y;5Y;250bp;0.008942
3Y;5Y;300bp;0.009542
3Y;5Y;350bp;0.010138
3Y;6Y;-350bp;0.008225
3Y;6Y;-300bp;0.007737
3Y;6Y;-250bp;0.007267
3Y;6Y;-200bp;0.006833
3Y;6Y;-150bp;0.006468
3Y;6Y;-100bp;0.006225
3Y;6Y;-75bp;0.006171
3Y;6Y;-50bp;0.006173
3Y;6Y;-25bp;0.006234
3Y;6Y;ATM;0.006351
3Y;6Y;25bp;0.006519
3Y;6Y;50bp;0.006727
3Y;6Y;75bp;0.006967
3Y;6Y;100bp;0.007229
3Y;6Y;150bp;0.007796
3Y;6Y;200bp;0.008392
3Y;6Y;250bp;0.009
3Y;6Y;300bp;0.00961
3Y;6Y;350bp;0.010217
3Y;7Y;-350bp;0.008284
3Y;7Y;-300bp;0.007786
3Y;7Y;-250bp;0.007306
3Y;7Y;-200bp;0.006862
3Y;7Y;-150bp;0.006485
3Y;7Y;-100bp;0.00623
3Y;7Y;-75bp;0.006171
3Y;7Y;-50bp;0.006169
3Y;7Y;-25bp;0.006228
3Y;7Y;ATM;0.006345
3Y;7Y;25bp;0.006514
3Y;7Y;50bp;0.006726
3Y;7Y;75bp;0.006969
3Y;7Y;100bp;0.007235
3Y;7Y;150bp;0.007811
3Y;7Y;200bp;0.008416
3Y;7Y;250bp;0.009033
3Y;7Y;300bp;0.009651
3Y;7Y;350bp;0.010266
3Y;8Y;-350bp;0.008365
3Y;8Y;-300bp;0.007856
3Y;8Y;-250bp;0.007364
3Y;8Y;-200bp;0.006907
3Y;8Y;-150bp;0.006517
3Y;8Y;-100bp;0.006249
3Y;8Y;-75bp;0.006184
3Y;8Y;-50bp;0.006179
3Y;8Y;-25bp;0.006236
3Y;8Y;ATM;0.006353
3Y;8Y;25bp;0.006525
3Y;8Y;50bp;0.00674
3Y;8Y;75bp;0.006988
3Y;8Y;100bp;0.00726
3Y;8Y;150bp;0.007847
3Y;8Y;200bp;0.008464
3Y;8Y;250bp;0.009092
3Y;8Y;300bp;0.009721
3Y;8Y;350bp;0.010346
3Y;9Y;-350bp;0.008451
3Y;9Y;-300bp;0.007932
3Y;9Y;-250bp;0.007428
3Y;9Y;-200bp;0.006959
3Y;9Y;-150bp;0.006555
3Y;9Y;-100bp;0.006275
3Y;9Y;-75bp;0.006206
3Y;9Y;-50bp;0.006196
3Y;9Y;-25bp;0.006251
3Y;9Y;ATM;0.006369
3Y;9Y;25bp;0.006543
3Y;9Y;50bp;0.006762
3Y;9Y;75bp;0.007015
3Y;9Y;100bp;0.007292
3Y;9Y;150bp;0.00789
3Y;9Y;200bp;0.008518
3Y;9Y;250bp;0.009157
3Y;9Y;300bp;0.009796
3Y;9Y;350bp;0.010432
3Y;10Y;-350bp;0.008542
3Y;10Y;-300bp;0.008012
3Y;10Y;-250bp;0.007497
3Y;10Y;-200bp;0.007016
3Y;10Y;-150bp;0.0066
3Y;10Y;-100bp;0.006308
3Y;10Y;-75bp;0.006234
3Y;10Y;-50bp;0.006221
3Y;10Y;-25bp;0.006275
3Y;10Y;ATM;0.006394
3Y;10Y;25bp;0.006571
3Y;10Y;50bp;0.006794
3Y;10Y;75bp;0.007052
3Y;10Y;100bp;0.007335
3Y;10Y;150bp;0.007945
3Y;10Y;200bp;0.008585
3Y;10Y;250bp;0.009236
3Y;10Y;300bp;0.009886
3Y;10Y;350bp;0.010532
3Y;15Y;-350bp;0.008618
3Y;15Y;-300bp;0.008082
3Y;15Y;-250bp;0.007559
3Y;15Y;-200bp;0.007065
3Y;15Y;-150bp;0.00663
3Y;15Y;-100bp;0.006308
3Y;15Y;-75bp;0.006213
3Y;15Y;-50bp;0.006176
3Y;15Y;-25bp;0.006204
3Y;15Y;ATM;0.006297
3Y;15Y;25bp;0.006451
3Y;15Y;50bp;0.006653
3Y;15Y;75bp;0.006892
3Y;15Y;100bp;0.007159
3Y;15Y;150bp;0.007744
3Y;15Y;200bp;0.008364
3Y;15Y;250bp;0.008997
3Y;15Y;300bp;0.009633
3Y;15Y;350bp;0.010265
3Y;20Y;-350bp;0.008772
3Y;20Y;-300bp;0.00823
3Y;20Y;-250bp;0.007701
3Y;20Y;-200bp;0.007197
3Y;20Y;-150bp;0.006747
3Y;20Y;-100bp;0.006399
3Y;20Y;-75bp;0.006286
3Y;20Y;-50bp;0.006228
3Y;20Y;-25bp;0.006232
3Y;20Y;ATM;0.006301
3Y;20Y;25bp;0.006429
3Y;20Y;50bp;0.006609
3Y;20Y;75bp;0.006829
3Y;20Y;100bp;0.007079
3Y;20Y;150bp;0.007636
3Y;20Y;200bp;0.008235
3Y;20Y;250bp;0.008851
3Y;20Y;300bp;0.009471
3Y;20Y;350bp;0.01009
3Y;25Y;-350bp;0.008819
3Y;25Y;-300bp;0.00828
3Y;25Y;-250bp;0.007752
3Y;25Y;-200bp;0.00725
3Y;25Y;-150bp;0.0068
3Y;25Y;-100bp;0.006449
3Y;25Y;-75bp;0.006332
3Y;25Y;-50bp;0.006267
3Y;25Y;-25bp;0.006262
3Y;25Y;ATM;0.00632
3Y;25Y;25bp;0.006438
3Y;25Y;50bp;0.006606
3Y;25Y;75bp;0.006815
3Y;25Y;100bp;0.007055
3Y;25Y;150bp;0.007595
3Y;25Y;200bp;0.00818
3Y;25Y;250bp;0.008783
3Y;25Y;300bp;0.009392
3Y;25Y;350bp;0.010001
3Y;30Y;-350bp;0.008891
3Y;30Y;-300bp;0.008352
3Y;30Y;-250bp;0.007826
3Y;30Y;-200bp;0.007324
3Y;30Y;-150bp;0.006873
3Y;30Y;-100bp;0.006517
3Y;30Y;-75bp;0.006395
3Y;30Y;-50bp;0.006324
3Y;30Y;-25bp;0.006311
3Y;30Y;ATM;0.006358
3Y;30Y;25bp;0.006464
3Y;30Y;50bp;0.006622
3Y;30Y;75bp;0.00682
3Y;30Y;100bp;0.00705
3Y;30Y;150bp;0.007574
3Y;30Y;200bp;0.008144
3Y;30Y;250bp;0.008736
3Y;30Y;300bp;0.009335
3Y;30Y;350bp;0.009935
4Y;1Y;-350bp;0.008328
4Y;1Y;-300bp;0.00786
4Y;1Y;-250bp;0.007413
4Y;1Y;-200bp;0.007004
4Y;1Y;-150bp;0.006663
4Y;1Y;-100bp;0.006439
4Y;1Y;-75bp;0.006388
4Y;1Y;-50bp;0.006387
4Y;1Y;-25bp;0.006438
4Y;1Y;ATM;0.006541
4Y;1Y;25bp;0.006688
4Y;1Y;50bp;0.006875
4Y;1Y;75bp;0.007091
4Y;1Y;100bp;0.00733
4Y;1Y;150bp;0.007855
4Y;1Y;200bp;0.008413
4Y;1Y;250bp;0.008987
4Y;1Y;300bp;0.009566
4Y;1Y;350bp;0.010145
4Y;2Y;-350bp;0.00827
4Y;2Y;-300bp;0.007814
4Y;2Y;-250bp;0.00738
4Y;2Y;-200bp;0.006987
4Y;2Y;-150bp;0.006665
4Y;2Y;-100bp;0.006462
4Y;2Y;-75bp;0.006422
4Y;2Y;-50bp;0.00643
4Y;2Y;-25bp;0.00649
4Y;2Y;ATM;0.006598
4Y;2Y;25bp;0.00675
4Y;2Y;50bp;0.006939
4Y;2Y;75bp;0.007156
4Y;2Y;100bp;0.007395
4Y;2Y;150bp;0.007916
4Y;2Y;200bp;0.008471
4Y;2Y;250bp;0.00904
4Y;2Y;300bp;0.009615
4Y;2Y;350bp;0.010189
4Y;3Y;-350bp;0.008106
4Y;3Y;-300bp;0.007673
4Y;3Y;-250bp;0.007265
4Y;3Y;-200bp;0.006898
4Y;3Y;-150bp;0.006605
4Y;3Y;-100bp;0.006428
4Y;3Y;-75bp;0.006399
4Y;3Y;-50bp;0.006416
4Y;3Y;-25bp;0.006481
4Y;3Y;ATM;0.00659
4Y;3Y;25bp;0.006739
4Y;3Y;50bp;0.006923
4Y;3Y;75bp;0.007132
4Y;3Y;100bp;0.007362
4Y;3Y;150bp;0.007864
4Y;3Y;200bp;0.008398
4Y;3Y;250bp;0.008947
4Y;3Y;300bp;0.009502
4Y;3Y;350bp;0.010056
4Y;4Y;-350bp;0.007902
4Y;4Y;-300bp;0.007494
4Y;4Y;-250bp;0.007112
4Y;4Y;-200bp;0.006774
4Y;4Y;-150bp;0.00651
4Y;4Y;-100bp;0.006361
4Y;4Y;-75bp;0.006343
4Y;4Y;-50bp;0.006368
4Y;4Y;-25bp;0.006437
4Y;4Y;ATM;0.006548
4Y;4Y;25bp;0.006695
4Y;4Y;50bp;0.006873
4Y;4Y;75bp;0.007075
4Y;4Y;100bp;0.007297
4Y;4Y;150bp;0.007779
4Y;4Y;200bp;0.008292
4Y;4Y;250bp;0.008819
4Y;4Y;300bp;0.009352
4Y;4Y;350bp;0.009886
4Y;5Y;-350bp;0.007799
4Y;5Y;-300bp;0.007407
4Y;5Y;-250bp;0.007041
4Y;5Y;-200bp;0.00672
4Y;5Y;-150bp;0.006473
4Y;5Y;-100bp;0.00634
4Y;5Y;-75bp;0.006328
4Y;5Y;-50bp;0.006358
4Y;5Y;-25bp;0.006428
4Y;5Y;ATM;0.006538
4Y;5Y;25bp;0.006683
4Y;5Y;50bp;0.006857
4Y;5Y;75bp;0.007054
4Y;5Y;100bp;0.007269
