Method,H,Expiry,Alpha,Rho,Nu,RMSE_bps,RMSE_global_bps
AMMO_ODE,0.1,10.0,0.006518799634378168,-0.15528848504649653,0.4653799459498929,3.904777330579585,4.146357376267398
AMMO_ODE,0.1,12.0,0.006470793238843321,-0.1550244733400414,0.4653799459498929,3.8278237910815545,4.146357376267398
AMMO_ODE,0.1,15.0,0.006333973415899803,-0.15007812364370135,0.4653799459498929,3.38787924724347,4.146357376267398
AMMO_ODE,0.1,20.0,0.006102773002056105,-0.14303498574829157,0.4653799459498929,3.091675860261277,4.146357376267398
AMMO_ODE,0.1,25.0,0.005900677738863742,-0.14671403802952146,0.4653799459498929,2.6568941330387066,4.146357376267398
AMMO_ODE,0.1,30.0,0.005803282129416399,-0.1489340346874489,0.4653799459498929,2.398685985128647,4.146357376267398
AMMO_ODE,0.15,1.0,0.0043346991866685365,0.007209019991902109,0.4941359426039532,11.404787382507461,5.076137108610276
AMMO_ODE,0.15,1.5,0.005030710317410268,-0.07409454978347689,0.4941359426039532,8.235293606132805,5.076137108610276
AMMO_ODE,0.15,2.0,0.005407303612267339,-0.13834047977581582,0.4941359426039532,3.76390654441711,5.076137108610276
AMMO_ODE,0.15,3.0,0.0059275489018230775,-0.1515607458308023,0.4941359426039532,0.3896593801090458,5.076137108610276
AMMO_ODE,0.15,4.0,0.006220327499290367,-0.1599231103429162,0.4941359426039532,1.668744799505971,5.076137108610276
AMMO_ODE,0.15,5.0,0.0064043490536306565,-0.16750357094822158,0.4941359426039532,3.487961058961557,5.076137108610276
AMMO_ODE,0.15,6.0,0.006470267122464997,-0.17007865395214908,0.4941359426039532,4.101106825027204,5.076137108610276
AMMO_ODE,0.15,7.0,0.00650482982645825,-0.16718276805253368,0.4941359426039532,4.817314397295719,5.076137108610276
AMMO_ODE,0.15,8.0,0.00653020721245943,-0.1678002353697964,0.4941359426039532,4.7527913110564874,5.076137108610276
AMMO_ODE,0.15,9.0,0.006536917484322806,-0.1677844973927347,0.4941359426039532,4.770135841596742,5.076137108610276
AMMO_ODE,0.15,10.0,0.006484999650612292,-0.16480638755685798,0.4941359426039532,4.566213825237516,5.076137108610276
AMMO_ODE,0.15,12.0,0.006428047656130307,-0.1633498878196581,0.4941359426039532,4.5722925660838145,5.076137108610276
AMMO_ODE,0.15,15.0,0.006279916091097935,-0.15660480681151392,0.4941359426039532,4.215305983367572,5.076137108610276
AMMO_ODE,0.15,20.0,0.006033862667718956,-0.14744381408297147,0.4941359426039532,3.9965576814709123,5.076137108610276
AMMO_ODE,0.15,25.0,0.005820470677583132,-0.14969461344570031,0.4941359426039532,3.6008279371045715,5.076137108610276
AMMO_ODE,0.15,30.0,0.00571256419425025,-0.15063810173202904,0.4941359426039532,3.359139559974219,5.076137108610276
AMMO_ODE,0.2,1.0,0.004356435373799046,0.007774346736274116,0.49423948924654965,14.07502858924576,6.0280662061070265
AMMO_ODE,0.2,1.5,0.00505225296232397,-0.07978197353874918,0.49423948924654965,10.050030743050426,6.0280662061070265
AMMO_ODE,0.2,2.0,0.005427110298928294,-0.15098713811626946,0.49423948924654965,5.084151889000708,6.0280662061070265
AMMO_ODE,0.2,3.0,0.005941933663447308,-0.16543029685856178,0.49423948924654965,1.0635225659299576,6.0280662061070265
AMMO_ODE,0.2,4.0,0.00622839902955448,-0.17430456370983746,0.49423948924654965,1.3765615733584347,6.0280662061070265
AMMO_ODE,0.2,5.0,0.006406072919313295,-0.1824669866443831,0.49423948924654965,3.447992480759965,6.0280662061070265
AMMO_ODE,0.2,6.0,0.006465562967278211,-0.18455110552186216,0.49423948924654965,4.244453182282687,6.0280662061070265
AMMO_ODE,0.2,7.0,0.006493818797005897,-0.180930185912035,0.49423948924654965,5.102224520836779,6.0280662061070265
AMMO_ODE,0.2,8.0,0.006513203869409212,-0.18072273776906533,0.49423948924654965,5.1459507719320206,6.0280662061070265
AMMO_ODE,0.2,9.0,0.006514210770217663,-0.1799823977944571,0.49423948924654965,5.2504996458546245,6.0280662061070265
AMMO_ODE,0.2,10.0,0.006456913095688197,-0.1760481452590216,0.49423948924654965,5.120957446839633,6.0280662061070265
AMMO_ODE,0.2,12.0,0.0063900538987280205,-0.17339663079148274,0.49423948924654965,5.239306127233252,6.0280662061070265
AMMO_ODE,0.2,15.0,0.0062288661136879735,-0.16477066754192493,0.49423948924654965,5.003552884885566,6.0280662061070265
AMMO_ODE,0.2,20.0,0.005964964641715461,-0.15345521486743574,0.49423948924654965,4.9141436500845215,6.0280662061070265
AMMO_ODE,0.2,25.0,0.00573746565821597,-0.15435270961934552,0.49423948924654965,4.598377552281989,6.0280662061070265
AMMO_ODE,0.2,30.0,0.005616327191379528,-0.15409201660315994,0.49423948924654965,4.407711381859986,6.0280662061070265
AMMO_ODE,0.25,1.0,0.00437716513511639,0.007921987225229722,0.47766299304623816,16.797362789302237,6.989603494831161
AMMO_ODE,0.25,1.5,0.0050742708003104105,-0.08356942460662133,0.47766299304623816,11.998437347681064,6.989603494831161
AMMO_ODE,0.25,2.0,0.005448553982910036,-0.16201066195195343,0.47766299304623816,6.579978448832065,6.989603494831161
AMMO_ODE,0.25,3.0,0.005960180407429189,-0.17928017652424313,0.47766299304623816,1.9413990735384223,6.989603494831161
AMMO_ODE,0.25,4.0,0.006241896978501235,-0.18951179504949267,0.47766299304623816,0.8769942233882909,6.989603494831161
AMMO_ODE,0.25,5.0,0.006414339916048361,-0.1988960739010408,0.47766299304623816,3.2064683494506836,6.989603494831161
AMMO_ODE,0.25,6.0,0.006468049038855351,-0.20077848684374733,0.47766299304623816,4.19693337661382,6.989603494831161
